/*
 * To change this license header, choose License Headers in Project Properties.
 * To change this template file, choose Tools | Templates
 * and open the template in the editor.
 */line 0 cols 0-188 is COMMENT
package                                           line 5 cols 7-14 is T_IDENTIFIER
import                                            line 17 cols 6-12 is T_IDENTIFIER
java                                              line 17 cols 11-15 is T_IDENTIFIER
.                                                 line 17 cols 12-13 is T_PUNCTUATION
util                                              line 17 cols 16-20 is T_IDENTIFIER
.                                                 line 17 cols 17-18 is T_PUNCTUATION
regex                                             line 17 cols 22-27 is T_IDENTIFIER
.                                                 line 17 cols 23-24 is T_PUNCTUATION
Matcher                                           line 17 cols 30-37 is T_IDENTIFIER
;                                                 line 17 cols 31-32 is T_PUNCTUATION
import                                            line 18 cols 6-12 is T_IDENTIFIER
java                                              line 18 cols 11-15 is T_IDENTIFIER
.                                                 line 18 cols 12-13 is T_PUNCTUATION
util                                              line 18 cols 16-20 is T_IDENTIFIER
.                                                 line 18 cols 17-18 is T_PUNCTUATION
regex                                             line 18 cols 22-27 is T_IDENTIFIER
.                                                 line 18 cols 23-24 is T_PUNCTUATION
Pattern                                           line 18 cols 30-37 is T_IDENTIFIER
;                                                 line 18 cols 31-32 is T_PUNCTUATION
import                                            line 19 cols 6-12 is T_IDENTIFIER
static                                            line 19 cols 13-19 is T_IDENTIFIER
javafx                                            line 19 cols 20-26 is T_IDENTIFIER
.                                                 line 19 cols 21-22 is T_PUNCTUATION
scene                                             line 19 cols 26-31 is T_IDENTIFIER
.                                                 line 19 cols 27-28 is T_PUNCTUATION
paint                                             line 19 cols 32-37 is T_IDENTIFIER
.                                                 line 19 cols 33-34 is T_PUNCTUATION
Color                                             line 19 cols 38-43 is T_IDENTIFIER
.                                                 line 19 cols 39-40 is T_PUNCTUATION
color                                             line 19 cols 44-49 is T_IDENTIFIER
;                                                 line 19 cols 45-46 is T_PUNCTUATION
import                                            line 20 cols 6-12 is T_IDENTIFIER
static                                            line 20 cols 13-19 is T_IDENTIFIER
javafx                                            line 20 cols 20-26 is T_IDENTIFIER
.                                                 line 20 cols 21-22 is T_PUNCTUATION
scene                                             line 20 cols 26-31 is T_IDENTIFIER
.                                                 line 20 cols 27-28 is T_PUNCTUATION
paint                                             line 20 cols 32-37 is T_IDENTIFIER
.                                                 line 20 cols 33-34 is T_PUNCTUATION
Color                                             line 20 cols 38-43 is T_IDENTIFIER
.                                                 line 20 cols 39-40 is T_PUNCTUATION
color                                             line 20 cols 44-49 is T_IDENTIFIER
;                                                 line 20 cols 45-46 is T_PUNCTUATION
import                                            line 21 cols 6-12 is T_IDENTIFIER
javax                                             line 21 cols 12-17 is T_IDENTIFIER
.                                                 line 21 cols 13-14 is T_PUNCTUATION
swing                                             line 21 cols 18-23 is T_IDENTIFIER
.                                                 line 21 cols 19-20 is T_PUNCTUATION
BorderFactory                                     line 21 cols 32-45 is T_IDENTIFIER
;                                                 line 21 cols 33-34 is T_PUNCTUATION
import                                            line 22 cols 6-12 is T_IDENTIFIER
javax                                             line 22 cols 12-17 is T_IDENTIFIER
.                                                 line 22 cols 13-14 is T_PUNCTUATION
swing                                             line 22 cols 18-23 is T_IDENTIFIER
.                                                 line 22 cols 19-20 is T_PUNCTUATION
JFileChooser                                      line 22 cols 31-43 is T_IDENTIFIER
;                                                 line 22 cols 32-33 is T_PUNCTUATION
import                                            line 23 cols 6-12 is T_IDENTIFIER
javax                                             line 23 cols 12-17 is T_IDENTIFIER
.                                                 line 23 cols 13-14 is T_PUNCTUATION
swing                                             line 23 cols 18-23 is T_IDENTIFIER
.                                                 line 23 cols 19-20 is T_PUNCTUATION
JOptionPane                                       line 23 cols 30-41 is T_IDENTIFIER
;                                                 line 23 cols 31-32 is T_PUNCTUATION
import                                            line 24 cols 6-12 is T_IDENTIFIER
javax                                             line 24 cols 12-17 is T_IDENTIFIER
.                                                 line 24 cols 13-14 is T_PUNCTUATION
swing                                             line 24 cols 18-23 is T_IDENTIFIER
.                                                 line 24 cols 19-20 is T_PUNCTUATION
JTextArea                                         line 24 cols 28-37 is T_IDENTIFIER
;                                                 line 24 cols 29-30 is T_PUNCTUATION
import                                            line 25 cols 6-12 is T_IDENTIFIER
javax                                             line 25 cols 12-17 is T_IDENTIFIER
.                                                 line 25 cols 13-14 is T_PUNCTUATION
swing                                             line 25 cols 18-23 is T_IDENTIFIER
.                                                 line 25 cols 19-20 is T_PUNCTUATION
JTextPane                                         line 25 cols 28-37 is T_IDENTIFIER
;                                                 line 25 cols 29-30 is T_PUNCTUATION
import                                            line 26 cols 6-12 is T_IDENTIFIER
javax                                             line 26 cols 12-17 is T_IDENTIFIER
.                                                 line 26 cols 13-14 is T_PUNCTUATION
swing                                             line 26 cols 18-23 is T_IDENTIFIER
.                                                 line 26 cols 19-20 is T_PUNCTUATION
filechooser                                       line 26 cols 30-41 is T_IDENTIFIER
.                                                 line 26 cols 31-32 is T_PUNCTUATION
FileNameExtensionFilter                           line 26 cols 54-77 is T_IDENTIFIER
;                                                 line 26 cols 55-56 is T_PUNCTUATION
import                                            line 27 cols 6-12 is T_IDENTIFIER
javax                                             line 27 cols 12-17 is T_IDENTIFIER
.                                                 line 27 cols 13-14 is T_PUNCTUATION
swing                                             line 27 cols 18-23 is T_IDENTIFIER
.                                                 line 27 cols 19-20 is T_PUNCTUATION
text                                              line 27 cols 23-27 is T_IDENTIFIER
.                                                 line 27 cols 24-25 is T_PUNCTUATION
BadLocationException                              line 27 cols 44-64 is T_IDENTIFIER
;                                                 line 27 cols 45-46 is T_PUNCTUATION
import                                            line 28 cols 6-12 is T_IDENTIFIER
javax                                             line 28 cols 12-17 is T_IDENTIFIER
.                                                 line 28 cols 13-14 is T_PUNCTUATION
swing                                             line 28 cols 18-23 is T_IDENTIFIER
.                                                 line 28 cols 19-20 is T_PUNCTUATION
text                                              line 28 cols 23-27 is T_IDENTIFIER
.                                                 line 28 cols 24-25 is T_PUNCTUATION
DefaultHighlighter                                line 28 cols 42-60 is T_IDENTIFIER
;                                                 line 28 cols 43-44 is T_PUNCTUATION
import                                            line 29 cols 6-12 is T_IDENTIFIER
javax                                             line 29 cols 12-17 is T_IDENTIFIER
.                                                 line 29 cols 13-14 is T_PUNCTUATION
swing                                             line 29 cols 18-23 is T_IDENTIFIER
.                                                 line 29 cols 19-20 is T_PUNCTUATION
text                                              line 29 cols 23-27 is T_IDENTIFIER
.                                                 line 29 cols 24-25 is T_PUNCTUATION
DefaultStyledDocument                             line 29 cols 45-66 is T_IDENTIFIER
;                                                 line 29 cols 46-47 is T_PUNCTUATION
import                                            line 30 cols 6-12 is T_IDENTIFIER
javax                                             line 30 cols 12-17 is T_IDENTIFIER
.                                                 line 30 cols 13-14 is T_PUNCTUATION
swing                                             line 30 cols 18-23 is T_IDENTIFIER
.                                                 line 30 cols 19-20 is T_PUNCTUATION
text                                              line 30 cols 23-27 is T_IDENTIFIER
.                                                 line 30 cols 24-25 is T_PUNCTUATION
Document                                          line 30 cols 32-40 is T_IDENTIFIER
;                                                 line 30 cols 33-34 is T_PUNCTUATION
import                                            line 31 cols 6-12 is T_IDENTIFIER
javax                                             line 31 cols 12-17 is T_IDENTIFIER
.                                                 line 31 cols 13-14 is T_PUNCTUATION
swing                                             line 31 cols 18-23 is T_IDENTIFIER
.                                                 line 31 cols 19-20 is T_PUNCTUATION
text                                              line 31 cols 23-27 is T_IDENTIFIER
.                                                 line 31 cols 24-25 is T_PUNCTUATION
Highlighter                                       line 31 cols 35-46 is T_IDENTIFIER
;                                                 line 31 cols 36-37 is T_PUNCTUATION
import                                            line 32 cols 6-12 is T_IDENTIFIER
javax                                             line 32 cols 12-17 is T_IDENTIFIER
.                                                 line 32 cols 13-14 is T_PUNCTUATION
swing                                             line 32 cols 18-23 is T_IDENTIFIER
.                                                 line 32 cols 19-20 is T_PUNCTUATION
text                                              line 32 cols 23-27 is T_IDENTIFIER
.                                                 line 32 cols 24-25 is T_PUNCTUATION
SimpleAttributeSet                                line 32 cols 42-60 is T_IDENTIFIER
;                                                 line 32 cols 43-44 is T_PUNCTUATION
import                                            line 33 cols 6-12 is T_IDENTIFIER
javax                                             line 33 cols 12-17 is T_IDENTIFIER
.                                                 line 33 cols 13-14 is T_PUNCTUATION
swing                                             line 33 cols 18-23 is T_IDENTIFIER
.                                                 line 33 cols 19-20 is T_PUNCTUATION
text                                              line 33 cols 23-27 is T_IDENTIFIER
.                                                 line 33 cols 24-25 is T_PUNCTUATION
Style                                             line 33 cols 29-34 is T_IDENTIFIER
;                                                 line 33 cols 30-31 is T_PUNCTUATION
import                                            line 34 cols 6-12 is T_IDENTIFIER
javax                                             line 34 cols 12-17 is T_IDENTIFIER
.                                                 line 34 cols 13-14 is T_PUNCTUATION
swing                                             line 34 cols 18-23 is T_IDENTIFIER
.                                                 line 34 cols 19-20 is T_PUNCTUATION
text                                              line 34 cols 23-27 is T_IDENTIFIER
.                                                 line 34 cols 24-25 is T_PUNCTUATION
StyleConstants                                    line 34 cols 38-52 is T_IDENTIFIER
;                                                 line 34 cols 39-40 is T_PUNCTUATION
import                                            line 35 cols 6-12 is T_IDENTIFIER
javax                                             line 35 cols 12-17 is T_IDENTIFIER
.                                                 line 35 cols 13-14 is T_PUNCTUATION
swing                                             line 35 cols 18-23 is T_IDENTIFIER
.                                                 line 35 cols 19-20 is T_PUNCTUATION
text                                              line 35 cols 23-27 is T_IDENTIFIER
.                                                 line 35 cols 24-25 is T_PUNCTUATION
StyledDocument                                    line 35 cols 38-52 is T_IDENTIFIER
;                                                 line 35 cols 39-40 is T_PUNCTUATION
import                                            line 36 cols 6-12 is T_IDENTIFIER
javax                                             line 36 cols 12-17 is T_IDENTIFIER
.                                                 line 36 cols 13-14 is T_PUNCTUATION
tools                                             line 36 cols 18-23 is T_IDENTIFIER
.                                                 line 36 cols 19-20 is T_PUNCTUATION
*                                                 line 36 cols 20-21 is T_BINOP
;                                                 line 36 cols 21-22 is T_PUNCTUATION
/**
 *
 * @author Maynor
 */                   line 37 cols 0-31 is COMMENT
public                                            line 41 cols 6-12 is T_IDENTIFIER
class                                             line 41 cols 12-17 is T_IDENTIFIER
Interfaz                                          line 41 cols 21-29 is T_IDENTIFIER
extends                                           line 41 cols 29-36 is T_IDENTIFIER
javax                                             line 41 cols 35-40 is T_IDENTIFIER
.                                                 line 41 cols 36-37 is T_PUNCTUATION
swing                                             line 41 cols 41-46 is T_IDENTIFIER
.                                                 line 41 cols 42-43 is T_PUNCTUATION
JFrame                                            line 41 cols 48-54 is T_IDENTIFIER
{                                                 line 41 cols 50-51 is T_PUNCTUATION
/**
     * Creates new form Interfaz
     */    line 43 cols 0-46 is COMMENT
String                                            line 46 cols 10-16 is T_IDENTIFIER
filePath                                          line 46 cols 19-27 is T_IDENTIFIER
;                                                 line 46 cols 20-21 is T_PUNCTUATION
public                                            line 47 cols 10-16 is T_IDENTIFIER
Interfaz                                          line 47 cols 19-27 is T_IDENTIFIER
(                                                 line 47 cols 20-21 is T_PUNCTUATION
)                                                 line 47 cols 21-22 is T_PUNCTUATION
throws                                            line 47 cols 28-34 is T_IDENTIFIER
BadLocationException                              line 47 cols 49-69 is T_IDENTIFIER
{                                                 line 47 cols 51-52 is T_PUNCTUATION
initComponents                                    line 48 cols 22-36 is T_IDENTIFIER
(                                                 line 48 cols 23-24 is T_PUNCTUATION
)                                                 line 48 cols 24-25 is T_PUNCTUATION
;                                                 line 48 cols 25-26 is T_PUNCTUATION
// Define a default background color attribute    line 49 cols 54-100 is COMMENT
StyledDocument                                    line 50 cols 22-36 is T_IDENTIFIER
doc                                               line 50 cols 26-29 is T_IDENTIFIER
=                                                 line 50 cols 28-29 is T_BINOP
(                                                 line 50 cols 30-31 is T_PUNCTUATION
StyledDocument                                    line 50 cols 44-58 is T_IDENTIFIER
)                                                 line 50 cols 45-46 is T_PUNCTUATION
jTextPane1                                        line 50 cols 55-65 is T_IDENTIFIER
.                                                 line 50 cols 56-57 is T_PUNCTUATION
getDocument                                       line 50 cols 67-78 is T_IDENTIFIER
(                                                 line 50 cols 68-69 is T_PUNCTUATION
)                                                 line 50 cols 69-70 is T_PUNCTUATION
;                                                 line 50 cols 70-71 is T_PUNCTUATION
// Create a style object and then set the style attributesline 52 cols 66-124 is COMMENT
Style                                             line 53 cols 13-18 is T_IDENTIFIER
style                                             line 53 cols 19-24 is T_IDENTIFIER
=                                                 line 53 cols 21-22 is T_BINOP
doc                                               line 53 cols 25-28 is T_IDENTIFIER
.                                                 line 53 cols 26-27 is T_PUNCTUATION
addStyle                                          line 53 cols 34-42 is T_IDENTIFIER
(                                                 line 53 cols 35-36 is T_PUNCTUATION
"StyleName"                                       line 53 cols 46-57 is T_STRINGCONSTANT
,                                                 line 53 cols 47-48 is T_PUNCTUATION
null                                              line 53 cols 52-56 is T_IDENTIFIER
)                                                 line 53 cols 53-54 is T_PUNCTUATION
;                                                 line 53 cols 54-55 is T_PUNCTUATION
StyleConstants                                    line 55 cols 22-36 is T_IDENTIFIER
.                                                 line 55 cols 23-24 is T_PUNCTUATION
setBackground                                     line 55 cols 36-49 is T_IDENTIFIER
(                                                 line 55 cols 37-38 is T_PUNCTUATION
style                                             line 55 cols 42-47 is T_IDENTIFIER
,                                                 line 55 cols 43-44 is T_PUNCTUATION
new                                               line 55 cols 47-50 is T_IDENTIFIER
Color                                             line 55 cols 53-58 is T_IDENTIFIER
(                                                 line 55 cols 54-55 is T_PUNCTUATION
0                                                 line 55 cols 55-56 is T_INTCONSTANT
,                                                 line 55 cols 56-57 is T_PUNCTUATION
0                                                 line 55 cols 58-59 is T_INTCONSTANT
,                                                 line 55 cols 59-60 is T_PUNCTUATION
51                                                line 55 cols 62-64 is T_INTCONSTANT
)                                                 line 55 cols 63-64 is T_PUNCTUATION
)                                                 line 55 cols 64-65 is T_PUNCTUATION
;                                                 line 55 cols 65-66 is T_PUNCTUATION
}                                                 line 58 cols 5-6 is T_PUNCTUATION
/**
     * This method is called from within the constructor to initialize the form.
     * WARNING: Do NOT modify this code. The content of this method is always
     * regenerated by the Form Editor.
     */line 60 cols 0-213 is COMMENT
*** Error line 65. *** Unrecognized : @
SuppressWarnings                                  line 65 cols 21-37 is T_IDENTIFIER
(                                                 line 65 cols 22-23 is T_PUNCTUATION
"unchecked"                                       line 65 cols 33-44 is T_STRINGCONSTANT
)                                                 line 65 cols 34-35 is T_PUNCTUATION
// <editor-fold defaultstate="collapsed" desc="Generated Code">//GEN-BEGIN:initComponentsline 66 cols 93-182 is COMMENT
private                                           line 67 cols 11-18 is T_IDENTIFIER
void                                              line 67 cols 16-20 is T_IDENTIFIER
initComponents                                    line 67 cols 31-45 is T_IDENTIFIER
(                                                 line 67 cols 32-33 is T_PUNCTUATION
)                                                 line 67 cols 33-34 is T_PUNCTUATION
{                                                 line 67 cols 35-36 is T_PUNCTUATION
jScrollPane1                                      line 69 cols 20-32 is T_IDENTIFIER
=                                                 line 69 cols 22-23 is T_BINOP
new                                               line 69 cols 26-29 is T_IDENTIFIER
javax                                             line 69 cols 32-37 is T_IDENTIFIER
.                                                 line 69 cols 33-34 is T_PUNCTUATION
swing                                             line 69 cols 38-43 is T_IDENTIFIER
.                                                 line 69 cols 39-40 is T_PUNCTUATION
JScrollPane                                       line 69 cols 50-61 is T_IDENTIFIER
(                                                 line 69 cols 51-52 is T_PUNCTUATION
)                                                 line 69 cols 52-53 is T_PUNCTUATION
;                                                 line 69 cols 53-54 is T_PUNCTUATION
jTextArea1                                        line 70 cols 18-28 is T_IDENTIFIER
=                                                 line 70 cols 20-21 is T_BINOP
new                                               line 70 cols 24-27 is T_IDENTIFIER
javax                                             line 70 cols 30-35 is T_IDENTIFIER
.                                                 line 70 cols 31-32 is T_PUNCTUATION
swing                                             line 70 cols 36-41 is T_IDENTIFIER
.                                                 line 70 cols 37-38 is T_PUNCTUATION
JTextArea                                         line 70 cols 46-55 is T_IDENTIFIER
(                                                 line 70 cols 47-48 is T_PUNCTUATION
)                                                 line 70 cols 48-49 is T_PUNCTUATION
;                                                 line 70 cols 49-50 is T_PUNCTUATION
jButton1                                          line 71 cols 16-24 is T_IDENTIFIER
=                                                 line 71 cols 18-19 is T_BINOP
new                                               line 71 cols 22-25 is T_IDENTIFIER
javax                                             line 71 cols 28-33 is T_IDENTIFIER
.                                                 line 71 cols 29-30 is T_PUNCTUATION
swing                                             line 71 cols 34-39 is T_IDENTIFIER
.                                                 line 71 cols 35-36 is T_PUNCTUATION
JButton                                           line 71 cols 42-49 is T_IDENTIFIER
(                                                 line 71 cols 43-44 is T_PUNCTUATION
)                                                 line 71 cols 44-45 is T_PUNCTUATION
;                                                 line 71 cols 45-46 is T_PUNCTUATION
jLabel3                                           line 72 cols 15-22 is T_IDENTIFIER
=                                                 line 72 cols 17-18 is T_BINOP
new                                               line 72 cols 21-24 is T_IDENTIFIER
javax                                             line 72 cols 27-32 is T_IDENTIFIER
.                                                 line 72 cols 28-29 is T_PUNCTUATION
swing                                             line 72 cols 33-38 is T_IDENTIFIER
.                                                 line 72 cols 34-35 is T_PUNCTUATION
JLabel                                            line 72 cols 40-46 is T_IDENTIFIER
(                                                 line 72 cols 41-42 is T_PUNCTUATION
)                                                 line 72 cols 42-43 is T_PUNCTUATION
;                                                 line 72 cols 43-44 is T_PUNCTUATION
jSeparator1                                       line 73 cols 19-30 is T_IDENTIFIER
=                                                 line 73 cols 21-22 is T_BINOP
new                                               line 73 cols 25-28 is T_IDENTIFIER
javax                                             line 73 cols 31-36 is T_IDENTIFIER
.                                                 line 73 cols 32-33 is T_PUNCTUATION
swing                                             line 73 cols 37-42 is T_IDENTIFIER
.                                                 line 73 cols 38-39 is T_PUNCTUATION
JSeparator                                        line 73 cols 48-58 is T_IDENTIFIER
(                                                 line 73 cols 49-50 is T_PUNCTUATION
)                                                 line 73 cols 50-51 is T_PUNCTUATION
;                                                 line 73 cols 51-52 is T_PUNCTUATION
jLabel4                                           line 74 cols 15-22 is T_IDENTIFIER
=                                                 line 74 cols 17-18 is T_BINOP
new                                               line 74 cols 21-24 is T_IDENTIFIER
javax                                             line 74 cols 27-32 is T_IDENTIFIER
.                                                 line 74 cols 28-29 is T_PUNCTUATION
swing                                             line 74 cols 33-38 is T_IDENTIFIER
.                                                 line 74 cols 34-35 is T_PUNCTUATION
JLabel                                            line 74 cols 40-46 is T_IDENTIFIER
(                                                 line 74 cols 41-42 is T_PUNCTUATION
)                                                 line 74 cols 42-43 is T_PUNCTUATION
;                                                 line 74 cols 43-44 is T_PUNCTUATION
jScrollPane2                                      line 75 cols 20-32 is T_IDENTIFIER
=                                                 line 75 cols 22-23 is T_BINOP
new                                               line 75 cols 26-29 is T_IDENTIFIER
javax                                             line 75 cols 32-37 is T_IDENTIFIER
.                                                 line 75 cols 33-34 is T_PUNCTUATION
swing                                             line 75 cols 38-43 is T_IDENTIFIER
.                                                 line 75 cols 39-40 is T_PUNCTUATION
JScrollPane                                       line 75 cols 50-61 is T_IDENTIFIER
(                                                 line 75 cols 51-52 is T_PUNCTUATION
)                                                 line 75 cols 52-53 is T_PUNCTUATION
;                                                 line 75 cols 53-54 is T_PUNCTUATION
taOriginal                                        line 76 cols 18-28 is T_IDENTIFIER
=                                                 line 76 cols 20-21 is T_BINOP
new                                               line 76 cols 24-27 is T_IDENTIFIER
javax                                             line 76 cols 30-35 is T_IDENTIFIER
.                                                 line 76 cols 31-32 is T_PUNCTUATION
swing                                             line 76 cols 36-41 is T_IDENTIFIER
.                                                 line 76 cols 37-38 is T_PUNCTUATION
JTextArea                                         line 76 cols 46-55 is T_IDENTIFIER
(                                                 line 76 cols 47-48 is T_PUNCTUATION
)                                                 line 76 cols 48-49 is T_PUNCTUATION
;                                                 line 76 cols 49-50 is T_PUNCTUATION
jScrollPane3                                      line 77 cols 20-32 is T_IDENTIFIER
=                                                 line 77 cols 22-23 is T_BINOP
new                                               line 77 cols 26-29 is T_IDENTIFIER
javax                                             line 77 cols 32-37 is T_IDENTIFIER
.                                                 line 77 cols 33-34 is T_PUNCTUATION
swing                                             line 77 cols 38-43 is T_IDENTIFIER
.                                                 line 77 cols 39-40 is T_PUNCTUATION
JScrollPane                                       line 77 cols 50-61 is T_IDENTIFIER
(                                                 line 77 cols 51-52 is T_PUNCTUATION
)                                                 line 77 cols 52-53 is T_PUNCTUATION
;                                                 line 77 cols 53-54 is T_PUNCTUATION
jTextPane1                                        line 78 cols 18-28 is T_IDENTIFIER
=                                                 line 78 cols 20-21 is T_BINOP
new                                               line 78 cols 24-27 is T_IDENTIFIER
javax                                             line 78 cols 30-35 is T_IDENTIFIER
.                                                 line 78 cols 31-32 is T_PUNCTUATION
swing                                             line 78 cols 36-41 is T_IDENTIFIER
.                                                 line 78 cols 37-38 is T_PUNCTUATION
JTextPane                                         line 78 cols 46-55 is T_IDENTIFIER
(                                                 line 78 cols 47-48 is T_PUNCTUATION
)                                                 line 78 cols 48-49 is T_PUNCTUATION
;                                                 line 78 cols 49-50 is T_PUNCTUATION
jLabel5                                           line 79 cols 15-22 is T_IDENTIFIER
=                                                 line 79 cols 17-18 is T_BINOP
new                                               line 79 cols 21-24 is T_IDENTIFIER
javax                                             line 79 cols 27-32 is T_IDENTIFIER
.                                                 line 79 cols 28-29 is T_PUNCTUATION
swing                                             line 79 cols 33-38 is T_IDENTIFIER
.                                                 line 79 cols 34-35 is T_PUNCTUATION
JLabel                                            line 79 cols 40-46 is T_IDENTIFIER
(                                                 line 79 cols 41-42 is T_PUNCTUATION
)                                                 line 79 cols 42-43 is T_PUNCTUATION
;                                                 line 79 cols 43-44 is T_PUNCTUATION
jMenuBar1                                         line 80 cols 17-26 is T_IDENTIFIER
=                                                 line 80 cols 19-20 is T_BINOP
new                                               line 80 cols 23-26 is T_IDENTIFIER
javax                                             line 80 cols 29-34 is T_IDENTIFIER
.                                                 line 80 cols 30-31 is T_PUNCTUATION
swing                                             line 80 cols 35-40 is T_IDENTIFIER
.                                                 line 80 cols 36-37 is T_PUNCTUATION
JMenuBar                                          line 80 cols 44-52 is T_IDENTIFIER
(                                                 line 80 cols 45-46 is T_PUNCTUATION
)                                                 line 80 cols 46-47 is T_PUNCTUATION
;                                                 line 80 cols 47-48 is T_PUNCTUATION
jMenu1                                            line 81 cols 14-20 is T_IDENTIFIER
=                                                 line 81 cols 16-17 is T_BINOP
new                                               line 81 cols 20-23 is T_IDENTIFIER
javax                                             line 81 cols 26-31 is T_IDENTIFIER
.                                                 line 81 cols 27-28 is T_PUNCTUATION
swing                                             line 81 cols 32-37 is T_IDENTIFIER
.                                                 line 81 cols 33-34 is T_PUNCTUATION
JMenu                                             line 81 cols 38-43 is T_IDENTIFIER
(                                                 line 81 cols 39-40 is T_PUNCTUATION
)                                                 line 81 cols 40-41 is T_PUNCTUATION
;                                                 line 81 cols 41-42 is T_PUNCTUATION
jMenuItem1                                        line 82 cols 18-28 is T_IDENTIFIER
=                                                 line 82 cols 20-21 is T_BINOP
new                                               line 82 cols 24-27 is T_IDENTIFIER
javax                                             line 82 cols 30-35 is T_IDENTIFIER
.                                                 line 82 cols 31-32 is T_PUNCTUATION
swing                                             line 82 cols 36-41 is T_IDENTIFIER
.                                                 line 82 cols 37-38 is T_PUNCTUATION
JMenuItem                                         line 82 cols 46-55 is T_IDENTIFIER
